Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
Centro Habitacional Burócratas de Guadalupe	668	156	0.99	10.63	1.28	0	3.21	1.24	5.13	3.85	-1.3565	Muy bajo	3.8827	 104 447	 1 909
Las Espinas	8	3	0	14.29	0	0	66.67	0.8	0	0	-1.3148	Bajo	4.2142	 103 827	 1 868
Fresnillo	96	25	4.76	23.81	0	0	84	1.23	8	0	-0.9327	Medio	7.2479	 90 787	 1 360
Jardines de la Silla (Jardines)	 53 742	 13 642	1.86	9.31	3.05	0.16	5.34	1.07	2.74	6.29	-1.3887	Muy bajo	3.6278	 104 835	 1 932
La Lobita	72	19	10	34.69	0	0	47.37	1.09	0	15.79	-0.8756	Medio	7.7012	 87 990	 1 264
Loma del Estribo	8	3	0	33.33	0	0	66.67	1.14	0	33.33	-0.8319	Medio	8.0481	 85 731	 1 182
Las Margaritas	16	4	0	11.11	0	0	100	2.29	0	50	-0.5288	Alto	10.4539	 69 504	783
San Antonio	 2 391	582	3.01	18.91	1.55	0	12.22	1.24	3.11	6.19	-1.2188	Bajo	4.9765	 101 823	 1 768
San José	416	96	4.63	26.37	1.04	0	18.75	1.4	11.46	3.13	-1.0239	Medio	6.5234	 94 897	 1 489
San Marcos	19	8	0	50	0	0	87.5	0.9	0	12.5	-0.7918	Alto	8.3661	 83 580	 1 129
San Mateo	170	56	7.69	29.69	0	1.79	80	1.13	3.57	12.5	-0.822	Medio	8.1262	 85 212	 1 165
San Pedro (Don Pedro)	21	7	7.14	21.43	28.57	0	57.14	1.91	14.29	14.29	-0.531	Alto	10.4363	 69 620	786
San Roque	213	68	4.32	27.5	4.41	2.99	72.73	1.1	8.96	16.18	-0.8249	Medio	8.1035	 85 355	 1 169
Bosques de la Silla (Santa Ana de Abajo)	340	90	4.46	29.68	0	0	58.89	1.44	1.11	8.89	-0.8956	Medio	7.5422	 88 983	 1 301
Santa Ana de Arriba	121	38	3.09	28.72	2.63	5.26	81.58	1.05	15.79	15.79	-0.7647	Alto	8.581	 82 145	 1 084
Los Salinas	25	3	8.33	25	0	0	33.33	4.17	0	0	-0.2911	Alto	12.3408	 57 258	533
Zirándaro	30	9	3.85	33.33	0	0	33.33	0.73	11.11	0	-1.1284	Bajo	5.6937	 99 062	 1 647
Calderón	231	35	3.31	20	2.86	0	97.06	1.15	2.86	11.43	-0.9179	Medio	7.3647	 90 080	 1 331
La Paz (Camino A la Paz)	8	5	14.29	57.14	0	0	60	0.62	0	40	-0.5414	Alto	10.3538	 70 165	796
Los Remates (Fracción el Tule)	21	7	6.67	46.67	0	0	100	1.11	14.29	0	-0.6209	Alto	9.7226	 74 362	894
Nido	15	4	0	28.57	0	0	25	1.67	0	50	-0.7674	Alto	8.56	 82 289	 1 092
La Escondida	9	3	0	22.22	0	0	100	0.82	0	33.33	-0.9217	Medio	7.3347	 90 249	 1 336
Valle del Encino	4	3	25	25	0	0	66.67	0.8	33.33	33.33	-0.4649	Alto	10.9612	 66 075	715
Montebello	396	106	3.86	17.32	22.64	0.95	46.67	1.71	63.81	37.74	-0.246	Alto	12.6987	 55 138	493
Casa Blanca	18	5	20	60	0	20	80	2.57	0	60	0.4005	Alto	17.8315	 30 472	195
Bosques de San Pedro	 1 817	431	2.28	15.18	8.58	0	25.52	1.29	4.87	6.26	-1.1546	Bajo	5.4856	 99 956	 1 681
Héctor Caballero	 5 812	 1 344	4.44	18.22	2.01	0.37	4.63	1.29	9.94	8.04	-1.1552	Bajo	5.4812	 99 971	 1 683
Los Huertos	40	10	4	32	0	0	80	1.54	10	10	-0.7151	Alto	8.9752	 79 435	 1 003
Ismael Flores	489	122	4.95	23.9	0.82	0	42.15	1.13	9.84	9.02	-1.0195	Medio	6.5584	 94 718	 1 482
San José	28	12	8.7	30.43	8.33	0	83.33	1.12	8.33	25	-0.6481	Alto	9.5066	 75 879	923
Valle de Juárez	 1 119	236	2.88	16.02	1.27	0	1.72	1.23	2.16	5.93	-1.2952	Bajo	4.3697	 103 506	 1 846
Carricitos	145	42	10.89	36	4.76	0	56.1	1.12	11.9	7.14	-0.7577	Alto	8.6366	 81 764	 1 070
La Barranca	11	4	27.27	45.45	25	0	100	1	50	0	-0.0138	Alto	14.5428	 45 002	354
La Granada	45	12	0	21.43	0	0	66.67	1.25	16.67	0	-1.0063	Medio	6.6636	 94 122	 1 457
El Ebanito	7	4	0	100	25	0	100	0.7	75	0	0.275	Alto	16.8349	 34 379	237
Los Naranjos	34	7	0	15	0	0	0	1.26	14.29	28.57	-1.1253	Bajo	5.7189	 98 965	 1 641
Monte Kristal	 5 640	 1 361	2.06	10.38	2.06	0.22	19.14	1.23	7.54	5.88	-1.2622	Bajo	4.6315	 102 860	 1 813
La Maestranza	133	35	4.08	23.16	0	0	11.43	1.13	8.57	2.86	-1.1875	Bajo	5.2249	 100 907	 1 724
Arboledas de San Roque	 25 793	 6 357	2.12	13.05	2.58	0.37	6.15	1.27	4.71	8.45	-1.2662	Bajo	4.6002	 102 952	 1 817
Bajío de San Marcos	8	5	0	50	0	0	100	0.57	0	0	-0.9174	Medio	7.3689	 90 054	 1 330
Dieciséis de Septiembre	702	175	4	18.81	1.14	1.14	95.43	1.55	17.71	17.14	-0.6828	Alto	9.2316	 77 744	957
Camino A San Marcos	16	4	30	50	0	0	75	2.29	0	25	-0.0017	Alto	14.6381	 44 505	346
Doce de Octubre	289	79	2.53	19.68	8.86	1.33	68	1.48	8	8.86	-0.8712	Medio	7.7362	 87 762	 1 258
Campestre el Sauz	29	6	0	16.67	0	0	50	2	0	0	-1.017	Medio	6.5785	 94 608	 1 477
Mirador de la Montaña	296	72	2.69	16.28	5.56	0	83.33	1.26	8.33	9.72	-0.9334	Medio	7.2417	 90 822	 1 363
Colinas del Río	7	3	0	50	100	33.33	100	2.33	100	100	1.6471	Muy alto	27.7278	 8 314	22
Valle de Vaquerías	 2 908	734	0.89	5.43	2.86	0	0	1.19	0.84	6.27	-1.4389	Muy bajo	3.2293	 105 363	 1 955
Camino Al Charco Azul	8	3	0	0	0	0	100	0.8	0	0	-1.3486	Muy bajo	3.9462	 104 337	 1 899
Camino Al Lindero	11	5	11.11	25	0	0	0	1.22	0	0	-1.1701	Bajo	5.3627	 100 435	 1 708
Mary	30	7	5.26	21.05	0	0	0	1.43	0	14.29	-1.1383	Bajo	5.6155	 99 388	 1 659
Ampliación Calderón	11	4	37.5	87.5	75	50	33.33	3.67	50	75	2.099	Muy alto	31.3151	 4 648	8
Los Rehiletes	117	37	0	4.88	0	0	0	0.87	0	13.51	-1.5216	Muy bajo	2.5727	 106 022	 1 996
Lampazos de Naranjo	 5 026	 1 430	4.19	24.92	3.92	0.56	1.12	0.9	1.54	3.99	-1.2802	Bajo	4.4884	 103 214	 1 828
Golondrinas (Estación)	19	5	8.33	25	0	0	0	1.12	0	0	-1.2321	Bajo	4.8703	 102 162	 1 778
Horcones	80	29	6.56	52.46	0	0	96.55	0.8	17.24	3.45	-0.6196	Alto	9.7329	 74 303	889
La Playa	5	3	0	20	0	0	0	0.71	0	33.33	-1.2959	Bajo	4.3642	 103 518	 1 848
Las Presas	61	18	8.7	41.3	16.67	0	11.11	1.22	22.22	5.56	-0.7195	Alto	8.94	 79 673	 1 008
Ranas	51	13	7.89	24.32	7.69	0	7.69	1.46	15.38	7.69	-0.9291	Medio	7.2758	 90 619	 1 355
Santa Elena	17	5	7.14	42.86	0	0	100	1.55	0	20	-0.5098	Alto	10.6047	 68 496	763
Paquita (Granja)	10	3	33.33	55.56	0	0	0	1.11	0	0	-0.6207	Alto	9.7243	 74 353	892
Linares	 63 104	 16 600	2.32	16.54	2.2	0.34	1.42	0.97	2.03	5.07	-1.3677	Muy bajo	3.7943	 104 596	 1 921
El Alamillo	18	6	0	46.15	16.67	0	50	1.13	16.67	16.67	-0.6506	Alto	9.4872	 75 997	926
Los Álamos	134	39	7.45	51.65	7.69	10.26	15.38	1.22	17.95	30.77	-0.4847	Alto	10.8043	 67 111	727
Los Álamos	67	20	10.26	56.41	0	5.26	55	1.26	25	25	-0.3259	Alto	12.0645	 58 912	562
Altas Palmas	15	5	0	46.15	80	0	100	1.5	0	100	0.3696	Alto	17.5865	 31 394	207
Alta Vista	12	3	0	9.09	0	0	0	1.5	0	0	-1.3896	Muy bajo	3.6206	 104 848	 1 934
El Avileño	13	5	0	63.64	40	0	0	1	20	20	-0.4955	Alto	10.7181	 67 699	742
Las Barretas	121	26	1.22	51.85	3.85	0	26.92	1.55	3.85	3.85	-0.7792	Alto	8.4658	 82 948	 1 106
Nogalillos (Belisario Domínguez)	25	7	9.09	54.55	28.57	0	0	1.19	28.57	14.29	-0.4618	Alto	10.9857	 65 911	710
Benítez	123	33	1.16	36.9	15.15	0	0	1.4	12.12	6.06	-0.9191	Medio	7.3555	 90 139	 1 332
El Salitre (Berlanga García)	103	29	7.59	37.66	6.9	0	10.34	1.1	6.9	6.9	-0.959	Medio	7.0391	 92 016	 1 399
El Brasil	164	47	5.93	37.39	12.77	6.38	4.26	1.37	6.38	19.15	-0.7839	Alto	8.4287	 83 186	 1 116
Buena Vista	56	16	17.07	63.41	0	0	0	1.1	18.75	12.5	-0.5439	Alto	10.3343	 70 298	799
Caja Pinta	310	96	7	42.13	3.13	5.21	4.17	0.93	4.17	13.54	-0.957	Medio	7.0548	 91 920	 1 396
El Canelo	53	12	11.43	52.94	0	0	0	1.51	0	0	-0.8108	Alto	8.2151	 84 592	 1 149
El Capricho	8	3	0	37.5	0	0	100	1.33	0	0	-0.8332	Medio	8.0376	 85 798	 1 185
El Caracol	71	23	8.77	48.21	4.35	0	30.43	0.99	4.35	0	-0.8795	Medio	7.6699	 88 176	 1 269
El Carmen de los Elizondo	162	38	9.65	42.73	7.89	2.7	83.78	1.37	10.81	10.53	-0.5013	Alto	10.6719	 68 023	752
La Carrera	6	3	0	50	0	0	100	1.2	66.67	33.33	-0.0835	Alto	13.989	 47 932	387
Pontezuelas	44	11	6.06	42.42	18.18	0	0	0.81	18.18	9.09	-0.8869	Medio	7.6114	 88 559	 1 282
El Cascajoso	119	33	7.23	35.8	42.42	0	6.06	1.18	3.03	18.18	-0.7255	Alto	8.8926	 79 977	 1 015
La Cebadilla (Las Delicias)	92	30	11.59	47.76	6.67	0	16.67	0.98	10	13.33	-0.7626	Alto	8.5978	 82 032	 1 079
Cerro Prieto	76	22	1.72	39.29	4.55	4.55	0	1.33	22.73	9.09	-0.8497	Medio	7.9061	 86 671	 1 219
Ciénega de Juan Pérez	52	19	11.36	67.44	15.79	5.26	0	1.37	21.05	42.11	-0.182	Alto	13.2069	 52 262	454
Cinco de Mayo	16	5	0	58.33	0	0	80	1.07	0	20	-0.6418	Alto	9.5572	 75 484	911
El Kilómetro Nueve (Colonia Unión)	16	3	0	58.33	0	0	66.67	1.78	0	0	-0.6117	Alto	9.7956	 73 875	876
La Concepción (San Antonio)	8	4	28.57	83.33	25	25	0	1	25	25	0.1883	Alto	16.1465	 37 361	271
La Concha	10	4	0	42.86	0	0	100	1.11	0	0	-0.8404	Medio	7.9804	 86 152	 1 198
El Consuelo	38	10	4.17	16.67	10	0	80	1.41	10	10	-0.8418	Medio	7.9689	 86 229	 1 205
El Consuelo	28	11	4.17	39.13	18.18	18.18	27.27	1.04	9.09	45.45	-0.5223	Alto	10.5054	 69 166	773
Los Hoyos (La Rosita)	46	16	8.11	72.22	0	0	0	0.84	0	0	-0.8449	Medio	7.9444	 86 409	 1 210
Las Crucitas	142	36	3.85	31.37	8.33	0	2.78	1.23	11.11	16.67	-0.9602	Medio	7.0293	 92 074	 1 401
La Cruz	9	3	11.11	66.67	0	0	33.33	0.9	0	0	-0.7385	Alto	8.7891	 80 720	 1 033
Cuauhtémoc (La Ceja)	37	14	2.94	54.55	0	0	35.71	0.95	0	7.14	-0.8958	Medio	7.5409	 88 989	 1 303
El Chocolate	24	9	0	47.06	0	0	55.56	0.96	0	0	-0.983	Medio	6.8478	 93 107	 1 436
Las Delicias	16	7	0	62.5	14.29	14.29	0	0.8	28.57	14.29	-0.598	Alto	9.9043	 73 158	858
El Diez	322	89	11.16	49.11	1.12	2.25	1.12	1.37	8.99	19.1	-0.6886	Alto	9.1854	 78 036	965
Dolores de San Julián	166	51	8	52.42	5.88	3.92	7.84	1.1	1.96	15.69	-0.7786	Alto	8.4709	 82 913	 1 105
Emiliano Zapata	405	94	3.93	21.53	1.06	0	1.06	1.24	9.57	9.57	-1.155	Bajo	5.4828	 99 967	 1 682
La Escondida (El Ranchito)	837	209	4.97	27.45	0.96	1.44	1.44	1.28	5.26	10.53	-1.0872	Bajo	6.0211	 97 531	 1 581
La Estrella	34	7	19.05	52.38	0	0	100	1.31	14.29	0	-0.3552	Alto	11.8325	 60 376	594
La Florida	14	6	21.43	42.86	0	16.67	0	1	33.33	16.67	-0.4909	Alto	10.7549	 67 464	732
La Florida	29	6	9.09	36.36	0	0	0	1.16	0	0	-1.0995	Bajo	5.9235	 98 012	 1 600
El Fresno	254	70	3.33	33.53	1.43	1.45	8.57	1.22	10	14.29	-0.9827	Medio	6.8509	 93 080	 1 434
El Gallo	29	7	0	45.45	14.29	0	14.29	1.32	71.43	14.29	-0.3711	Alto	11.7058	 61 173	614
Gatos Güeros	343	98	11.95	55.28	1.02	1.03	1.02	1.57	9.18	16.33	-0.5869	Alto	9.9925	 72 611	843
La Gorgonia	47	15	6.25	38.71	6.67	6.67	0	1.21	6.67	20	-0.851	Medio	7.8963	 86 743	 1 223
La Granja	22	11	22.22	72.22	45.45	18.18	45.45	1	54.55	36.36	0.495	Alto	18.5817	 27 880	171
Guadalupe (La Hacienda de Guadalupe)	 1 367	350	2.91	24.97	2.86	0.57	12.57	1.2	4	5.14	-1.1589	Bajo	5.4522	 100 095	 1 688
Guadalupe	29	7	7.69	40	0	0	0	1.04	0	0	-1.1138	Bajo	5.8097	 98 560	 1 621
Guadalupe Victoria	41	14	5.71	51.52	0	0	0	1.14	14.29	14.29	-0.8124	Alto	8.2027	 84 667	 1 150
El Guajolote	162	47	5.51	39.84	0	0	0	1.18	17.02	8.51	-0.9354	Medio	7.2257	 90 919	 1 368
El Guayacán	48	13	9.09	48.48	38.46	7.69	100	1.6	61.54	30.77	0.3449	Alto	17.39	 32 154	213
Los Hoyos (San José de los Hoyos)	31	9	13.04	65.22	0	0	100	1.35	66.67	0	0.069	Alto	15.1994	 41 733	312
Jerusalén	15	4	0	26.67	0	0	0	1.15	0	0	-1.3116	Bajo	4.2398	 103 774	 1 864
Jesús María	35	12	7.41	61.54	58.33	0	0	1.13	25	16.67	-0.2672	Alto	12.5306	 56 106	515
Jesús María del Puerto	138	37	4.04	47.42	8.11	2.7	0	1.22	27.03	8.11	-0.7375	Alto	8.7975	 80 665	 1 031
La Lajilla (Ampliación los Hoyos)	84	24	8.62	44.83	0	0	8.33	1.29	16.67	16.67	-0.7435	Alto	8.7498	 80 989	 1 043
Río Verde (Lampazos)	 1 125	267	3.26	28.71	1.87	0.38	20.99	1.37	10.27	9.36	-0.9822	Medio	6.8547	 93 058	 1 433
Los Leones	71	22	3.57	49.09	9.09	4.55	4.55	1.04	9.09	13.64	-0.8345	Medio	8.0269	 85 860	 1 188
Los Lirios	20	6	0	36.84	0	0	33.33	0.91	0	0	-1.1692	Bajo	5.3696	 100 401	 1 704
Loma Alta	210	62	6.54	35.62	1.61	3.23	16.13	1	6.45	8.06	-1.0079	Medio	6.6509	 94 198	 1 462
Loma Alta (Ampliación de Loma Alta)	73	23	1.64	41.67	4.35	8.7	13.04	1.26	34.78	26.09	-0.5938	Alto	9.938	 72 951	853
Magüiras	48	13	18.92	64.86	23.08	0	0	1.55	15.38	15.38	-0.255	Alto	12.6277	 55 549	504
Mederos	106	30	7.79	58.44	0	0	3.33	1.29	16.67	13.33	-0.6556	Alto	9.4474	 76 246	931
El Mirador	10	3	0	28.57	0	0	100	0.91	0	0	-1.0362	Medio	6.4259	 95 427	 1 509
El Molino del Fresno (El Molino)	9	3	14.29	57.14	0	0	100	1.13	33.33	0	-0.2854	Alto	12.3864	 56 990	529
Moras (Altamira)	95	24	3.28	29.31	4.17	4.17	8.33	1.27	4.17	16.67	-1.0052	Medio	6.6722	 94 079	 1 455
El Mosquito	16	8	14.29	85.71	0	12.5	62.5	0.7	0	25	-0.2426	Alto	12.7259	 54 965	489
El Nogalar (Las Latas)	18	6	27.27	72.73	50	83.33	100	1.64	50	100	1.6975	Muy alto	28.1278	 7 850	20
Las Crucitas (Ojo de Agua)	115	32	9.41	48.19	0	0	0	1.15	12.5	15.63	-0.8005	Alto	8.297	 84 029	 1 135
La Pamona	30	13	3.7	53.85	7.69	7.69	23.08	0.81	7.69	7.69	-0.8233	Medio	8.1157	 85 279	 1 168
Parientes (La Cruz de Abajo)	114	28	5.06	29.49	0	0	10.71	1.36	21.43	7.14	-0.9375	Medio	7.2096	 91 006	 1 370
Loma el Perico	139	35	4.49	40.45	5.71	2.86	2.86	1.39	5.71	17.14	-0.8503	Medio	7.9016	 86 708	 1 222
El Piojo (Pamona Dos)	18	6	5.56	55.56	16.67	16.67	100	1	50	100	0.4749	Alto	18.4221	 28 400	178
Carricitos	24	7	6.25	25	0	0	14.29	1.09	14.29	28.57	-0.9488	Medio	7.1195	 91 542	 1 381
El Popote (El Poblado)	111	30	2.86	45.59	0	0	0	1.37	17.24	16.67	-0.809	Alto	8.2299	 84 485	 1 144
El Porvenir	44	9	0	16.67	0	0	100	1.91	22.22	22.22	-0.5927	Alto	9.947	 72 892	851
El Pretil	54	20	6.82	70.45	15	5	10	0.84	25	15	-0.4648	Alto	10.9622	 66 064	714
El Puerto	43	11	13.89	45.71	9.09	0	18.18	1.48	18.18	9.09	-0.5678	Alto	10.1446	 71 550	819
Purísima de Conchos	60	16	0	48.72	50	0	100	1.33	0	0	-0.4314	Alto	11.2268	 64 323	675
Ranchería	142	38	4.9	46.53	13.16	0	7.89	1.17	28.95	10.53	-0.6832	Alto	9.2285	 77 761	958
Rancho Viejo y la Palma	161	45	11.02	51.18	11.11	62.22	66.67	1.5	13.33	100	0.5261	Alto	18.8283	 27 017	163
La Reforma	271	65	5.85	25.56	0	0	9.23	1.61	6.15	12.31	-0.977	Medio	6.8956	 92 821	 1 427
El Refugio (Veredas)	499	121	5.29	32.05	4.96	1.65	5.83	1.32	15.7	15.7	-0.8846	Medio	7.6298	 88 442	 1 276
El Refugio	8	4	0	28.57	0	0	50	0.62	0	100	-0.6711	Alto	9.3241	 77 115	947
La Retama	8	3	0	50	0	0	66.67	0.8	0	0	-0.9619	Medio	7.0155	 92 160	 1 405
Río Verde	39	11	3.85	26.92	0	0	63.64	1	9.09	18.18	-0.9242	Medio	7.315	 90 378	 1 345
El Salitre	23	9	4.55	31.82	0	0	22.22	0.82	11.11	0	-1.1459	Bajo	5.5554	 99 655	 1 667
San Antonio de las Barajas	36	11	3.85	42.31	18.18	9.09	100	1.16	36.36	27.27	-0.2061	Alto	13.016	 53 330	469
San Cristóbal	78	26	3.39	55.93	3.85	0	100	1.01	30.77	11.54	-0.3917	Alto	11.5424	 62 252	633
San Fernando	39	13	6.45	58.06	0	0	0	0.98	23.08	15.38	-0.7149	Alto	8.9766	 79 419	 1 001
San Francisco (San Francisco Tenamaxtle)	361	106	5.54	49.63	0	3.77	8.49	1.2	6.6	21.7	-0.7743	Alto	8.5054	 82 673	 1 102
San Isidro	9	3	0	50	33.33	100	0	1.5	66.67	100	0.893	Muy alto	21.7416	 18 687	100
Nuevo San Isidro	92	26	5.71	40.58	26.92	0	3.85	1.16	0	19.23	-0.8145	Medio	8.1856	 84 790	 1 156
San Jacinto (La Garita)	81	23	6.56	39.34	13.04	8.7	21.74	1.62	39.13	26.09	-0.3483	Alto	11.8868	 59 996	587
San José	151	46	10.43	36.61	0	6.52	4.35	1.16	6.52	15.22	-0.8888	Medio	7.5962	 88 635	 1 287
San José	18	5	0	33.33	0	100	100	1.13	0	100	0.2956	Alto	16.9984	 33 719	230
San Pedro de los García	14	4	0	40	0	25	0	1.08	50	25	-0.5479	Alto	10.3023	 70 503	802
San Pedro de los Escobedo	67	20	14.55	70.37	10	5	5	1.26	5	20	-0.4072	Alto	11.4194	 63 063	652
San Pedro Garza García (Jesús María)	59	14	5	41.03	7.14	0	7.14	1.28	21.43	7.14	-0.8161	Medio	8.1734	 84 878	 1 158
San Rafael	334	107	4.35	41.46	0	0	12.15	0.86	3.74	4.67	-1.0971	Bajo	5.9423	 97 918	 1 597
Santa Rosa (La Pita)	91	25	7.04	55.07	0	0	8	1.36	12	16	-0.6801	Alto	9.2526	 77 605	956
Santo Domingo	145	38	0	38	5.26	2.63	97.37	1.2	23.68	5.26	-0.6301	Alto	9.6499	 74 852	901
El Santuario	4	3	0	100	0	100	100	0.5	33.33	100	1.012	Muy alto	22.686	 16 519	83
Temporales	17	6	20	53.33	0	16.67	33.33	0.94	33.33	16.67	-0.3142	Alto	12.1573	 58 372	553
La Parrita (Los Terreros)	99	32	7.58	51.52	6.25	6.25	0	1.24	15.63	15.63	-0.6694	Alto	9.3379	 77 013	944
El Troncón	72	19	9.43	30.19	5.26	0	5.26	1.18	0	21.05	-0.9757	Medio	6.9062	 92 753	 1 426
Vista Hermosa	439	112	3.63	39.13	2.68	0	5.36	1.43	9.82	8.04	-0.9174	Medio	7.3693	 90 050	 1 329
Las Amayas	13	3	12.5	42.86	0	0	0	1.44	0	0	-0.9162	Medio	7.3785	 89 991	 1 327
El Chamizal	103	30	5.48	33.33	6.67	0	16.67	1.3	10	10	-0.9143	Medio	7.394	 89 887	 1 324
Lozada	9	3	0	33.33	0	0	100	1.29	0	0	-0.8853	Medio	7.6239	 88 487	 1 277
Salsipuedes (Los Ramírez)	17	4	7.69	41.67	0	0	25	1.31	0	0	-0.943	Medio	7.1657	 91 268	 1 376
Hacienda el Popote (El Popote Viejo)	30	7	0	40	0	0	0	1.58	0	0	-1.0623	Medio	6.2186	 96 528	 1 551
La Aurora	52	14	10.81	40.54	0	14.29	92.86	1.3	35.71	28.57	-0.1915	Alto	13.1316	 52 700	461
Kilómetro Cuatro	39	11	6.06	39.39	18.18	0	0	1.34	20	9.09	-0.7594	Alto	8.6233	 81 858	 1 073
San Juanito	12	3	0	42.86	0	0	66.67	0.86	0	0	-1.0161	Medio	6.5854	 94 562	 1 475
El Valle	5	3	0	75	33.33	0	100	0.63	66.67	66.67	0.4034	Alto	17.8548	 30 387	194
La Borrega	57	17	0	47.73	5.88	5.88	6.25	1.12	11.76	11.76	-0.8685	Medio	7.757	 87 613	 1 254
Las Tres A (San Antonio)	24	2	8.7	30.43	0	0	0	0.5	0	50	-1.0407	Medio	6.3903	 95 628	 1 514
Los Ángeles	111	30	6.25	36.84	3.33	3.33	6.67	1.22	10	10	-0.9228	Medio	7.3261	 90 304	 1 340
La Estrella (El Charco)	269	73	6.63	33.16	2.74	0	2.74	1.31	17.81	10.96	-0.9069	Medio	7.4526	 89 549	 1 316
Los Tules (Santa Gertrudis)	11	3	0	62.5	0	100	100	1.83	0	100	0.7751	Muy alto	20.805	 21 067	113
San Gerardo (La Libertad)	11	3	0	33.33	0	0	33.33	2.2	33.33	0	-0.6214	Alto	9.719	 74 383	895
Los Laureles	13	3	11.11	11.11	33.33	100	100	2.6	66.67	100	1.2704	Muy alto	24.7374	 12 607	51
La Soledad	211	45	5.52	29.37	4.44	0	2.27	1.59	6.67	11.11	-0.9492	Medio	7.1162	 91 562	 1 385
El Anegado	16	3	0	28.57	0	0	100	1.45	33.33	0	-0.6587	Alto	9.4231	 76 419	937
Las Carolinas (Agraristas Unidos)	22	9	0	33.33	22.22	0	0	0.63	0	11.11	-1.1913	Bajo	5.1948	 101 023	 1 733
Casa Blanca	16	4	0	0	0	0	50	0.8	0	25	-1.3583	Muy bajo	3.869	 104 469	 1 911
San José de los González	7	3	20	20	0	0	100	1	0	33.33	-0.6447	Alto	9.5342	 75 661	916
San Pedro (Santa Elena)	15	5	0	25	0	100	100	1.88	0	100	0.4182	Alto	17.9721	 29 951	188
Kilómetro Dieciséis	19	5	0	20	0	0	100	1	0	0	-1.0963	Bajo	5.9489	 97 878	 1 594
Santa Rita	9	3	0	0	0	0	100	0.6	0	0	-1.4032	Muy bajo	3.5122	 105 017	 1 942
Las Gaviotas (San Gerardo)	14	3	0	0	0	0	0	1.75	0	100	-0.8056	Alto	8.2563	 84 308	 1 139
Nuevo Cerro Prieto	106	33	7.59	34.21	48.48	0	3.03	1.13	0	15.15	-0.7641	Alto	8.5864	 82 108	 1 081
Ranchería	44	13	3.13	38.71	15.38	0	0	1.26	23.08	15.38	-0.7816	Alto	8.4468	 83 087	 1 112
Santo Domingo	62	15	2.5	21.05	13.33	6.67	40	1.44	33.33	13.33	-0.6982	Alto	9.1094	 78 510	978
Las Bugambilias	12	3	0	0	0	0	0	0.71	0	0	-1.6953	Muy bajo	1.1934	 107 129	 2 036
Las Brisas	92	18	1.67	18.33	0	0	94.44	1.59	16.67	11.11	-0.7663	Alto	8.5683	 82 226	 1 089
La Esmeralda	12	3	25	50	0	0	0	1.5	33.33	0	-0.4431	Alto	11.134	 64 939	691
Los Barbarines (Kilómetro Catorce)	15	3	41.67	72.73	0	0	100	2.14	33.33	0	0.4867	Alto	18.5155	 28 070	174
Santa Clara	6	4	0	66.67	25	50	100	0.75	100	100	1.0468	Muy alto	22.9619	 15 966	76
La Concha	13	3	0	37.5	0	0	33.33	1.3	0	0	-1.0562	Medio	6.2675	 96 260	 1 542
Buena Vida	9	3	0	25	0	0	33.33	0.82	0	0	-1.3109	Bajo	4.2455	 103 754	 1 863
La Brisa	18	5	10	40	0	0	100	2	40	0	-0.2245	Alto	12.8696	 54 146	477
Ampliación el Alamar (Guadalupe)	43	11	10.71	42.86	9.09	90.91	90.91	1.43	81.82	90.91	1.0822	Muy alto	23.2432	 15 366	67
Cerro Prieto (El Coconal)	47	14	5.41	30.56	0	0	0	1.07	7.14	0	-1.1782	Bajo	5.2984	 100 637	 1 714
Jaime Valdez	25	5	6.67	40	0	0	20	1.56	0	0	-0.9201	Medio	7.3478	 90 180	 1 334
Fraccionamiento Hilario Navarro (San Rafael)	7	3	0	16.67	0	0	100	0.7	0	0	-1.2112	Bajo	5.0365	 101 606	 1 758
Los Sabinos (La Curva)	108	26	9.21	30.26	0	0	7.69	1.61	3.85	19.23	-0.8675	Medio	7.765	 87 565	 1 252
El Limón	9	4	33.33	33.33	25	0	0	1.29	50	50	0.002	Alto	14.6679	 44 350	341
La Garita	17	5	0	46.67	0	0	60	1.13	0	40	-0.684	Alto	9.2221	 77 808	960
La Petaca	68	21	2.04	26.53	0	14.29	90.48	1.24	5	23.81	-0.7043	Alto	9.061	 78 859	986
San Joaquín	18	6	13.33	66.67	0	0	100	1.2	16.67	16.67	-0.1981	Alto	13.0792	 52 985	464
La Papa	50	14	2.94	33.33	7.14	7.14	0	1.47	14.29	21.43	-0.8074	Alto	8.242	 84 398	 1 140
Marín	 3 075	833	2.67	16.01	1.92	0.12	0.36	0.93	0.49	3.6	-1.4054	Muy bajo	3.4949	 105 041	 1 944
Guadalupe	72	25	3.57	9.43	0	0	0	0.65	0	0	-1.5739	Muy bajo	2.1573	 106 360	 2 014
Pocita Tres (Midori)	26	6	7.69	38.46	0	0	0	1.73	0	0	-0.9404	Medio	7.1862	 91 158	 1 374
